DQN：
实验条件：抽象训练 point43
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)

episode 351, episode_reward 11350, epsilon 0.029670
episode 352, episode_reward 1315, epsilon 0.029373
episode 353, episode_reward 1190, epsilon 0.029080
episode 354, episode_reward 1255, epsilon 0.028789
episode 355, episode_reward 1315, epsilon 0.028501
episode 356, episode_reward 11310, epsilon 0.028216
episode 357, episode_reward 8320, epsilon 0.027934
episode 358, episode_reward 1230, epsilon 0.027654
episode 359, episode_reward 1250, epsilon 0.027378
episode 360, episode_reward 160, epsilon 0.027104
episode 361, episode_reward 4890, epsilon 0.026833
episode 362, episode_reward 3440, epsilon 0.026565
episode 363, episode_reward 1305, epsilon 0.026299
episode 364, episode_reward 1180, epsilon 0.026036
episode 365, episode_reward 1425, epsilon 0.025776
episode 366, episode_reward 1375, epsilon 0.025518
episode 367, episode_reward 1870, epsilon 0.025263
episode 368, episode_reward 1225, epsilon 0.025010
episode 369, episode_reward 1300, epsilon 0.024760
episode 370, episode_reward 8165, epsilon 0.024512
episode 371, episode_reward 8285, epsilon 0.024267
episode 372, episode_reward 895, epsilon 0.024025
episode 373, episode_reward 14595, epsilon 0.023784
episode 374, episode_reward 12970, epsilon 0.023547
episode 375, episode_reward 3420, epsilon 0.023311
episode 376, episode_reward 1780, epsilon 0.023078
episode 377, episode_reward 11245, epsilon 0.022847
episode 378, episode_reward 1745, epsilon 0.022619
episode 379, episode_reward 1345, epsilon 0.022393
episode 380, episode_reward -65, epsilon 0.022169
episode 381, episode_reward -65, epsilon 0.021947
episode 382, episode_reward -65, epsilon 0.021727
episode 383, episode_reward 14865, epsilon 0.021510
episode 384, episode_reward -35, epsilon 0.021295
episode 385, episode_reward 425, epsilon 0.021082
episode 386, episode_reward 535, epsilon 0.020871
episode 387, episode_reward 6350, epsilon 0.020663
episode 388, episode_reward 1775, epsilon 0.020456
episode 389, episode_reward -90, epsilon 0.020251
episode 390, episode_reward 8305, epsilon 0.020049
episode 391, episode_reward 1200, epsilon 0.019848
episode 392, episode_reward 1320, epsilon 0.019650
episode 393, episode_reward 1380, epsilon 0.019453
episode 394, episode_reward 1725, epsilon 0.019259
episode 395, episode_reward 3380, epsilon 0.019066
episode 396, episode_reward 9885, epsilon 0.018876
episode 397, episode_reward 570, epsilon 0.018687
episode 398, episode_reward 4930, epsilon 0.018500
episode 399, episode_reward 8120, epsilon 0.018315
episode 400, episode_reward 14610, epsilon 0.018132
episode 401, episode_reward 1745, epsilon 0.017951
episode 402, episode_reward 11200, epsilon 0.017771
episode 403, episode_reward 5065, epsilon 0.017593
episode 404, episode_reward 1685, epsilon 0.017417
episode 405, episode_reward 1840, epsilon 0.017243
episode 406, episode_reward -70, epsilon 0.017071
episode 407, episode_reward -55, epsilon 0.016900
episode 408, episode_reward -85, epsilon 0.016731
episode 409, episode_reward -50, epsilon 0.016564
episode 410, episode_reward 9655, epsilon 0.016398
episode 411, episode_reward 1835, epsilon 0.016234
episode 412, episode_reward -35, epsilon 0.016072
episode 413, episode_reward -65, epsilon 0.015911
episode 414, episode_reward 1230, epsilon 0.015752
episode 415, episode_reward 1285, epsilon 0.015594
episode 416, episode_reward 1320, epsilon 0.015439
episode 417, episode_reward 8440, epsilon 0.015284
episode 418, episode_reward 3445, epsilon 0.015131
episode 419, episode_reward 1355, epsilon 0.014980
episode 420, episode_reward 1350, epsilon 0.014830
episode 421, episode_reward 1290, epsilon 0.014682
episode 422, episode_reward 3375, epsilon 0.014535
episode 423, episode_reward 14880, epsilon 0.014390
episode 424, episode_reward 3585, epsilon 0.014246
episode 425, episode_reward 1245, epsilon 0.014103
episode 426, episode_reward 1255, epsilon 0.013962
episode 427, episode_reward 6460, epsilon 0.013823
episode 428, episode_reward 14760, epsilon 0.013684
episode 429, episode_reward 3260, epsilon 0.013548
episode 430, episode_reward 1360, epsilon 0.013412
episode 431, episode_reward 2035, epsilon 0.013278
episode 432, episode_reward 1110, epsilon 0.013145
episode 433, episode_reward 6345, epsilon 0.013014
episode 434, episode_reward 5140, epsilon 0.012884
episode 435, episode_reward 4970, epsilon 0.012755
episode 436, episode_reward 6405, epsilon 0.012627
episode 437, episode_reward 3565, epsilon 0.012501
episode 438, episode_reward 9550, epsilon 0.012376
episode 439, episode_reward 1885, epsilon 0.012252
episode 440, episode_reward 8135, epsilon 0.012130
episode 441, episode_reward 7975, epsilon 0.012008
episode 442, episode_reward 6235, epsilon 0.011888
episode 443, episode_reward 1720, epsilon 0.011769
episode 444, episode_reward 6685, epsilon 0.011652
episode 445, episode_reward 1260, epsilon 0.011535
episode 446, episode_reward 3320, epsilon 0.011420
episode 447, episode_reward 15190, epsilon 0.011306
episode 448, episode_reward 1110, epsilon 0.011193
episode 449, episode_reward 1275, epsilon 0.011081
episode 450, episode_reward 4800, epsilon 0.010970
episode 451, episode_reward 14895, epsilon 0.010860
episode 452, episode_reward 9355, epsilon 0.010752
episode 453, episode_reward 14875, epsilon 0.010644
episode 454, episode_reward 260, epsilon 0.010538
episode 455, episode_reward -70, epsilon 0.010432
episode 456, episode_reward -65, epsilon 0.010328
episode 457, episode_reward -80, epsilon 0.010225
episode 458, episode_reward -75, epsilon 0.010122
episode 459, episode_reward -65, epsilon 0.010021
episode 460, episode_reward -50, epsilon 0.009921
episode 461, episode_reward 3260, epsilon 0.009822
episode 462, episode_reward 14435, epsilon 0.009724
episode 463, episode_reward 3225, epsilon 0.009626
episode 464, episode_reward 1840, epsilon 0.009530
episode 465, episode_reward 14890, epsilon 0.009435
episode 466, episode_reward -55, epsilon 0.009340
episode 467, episode_reward -50, epsilon 0.009247
episode 468, episode_reward -60, epsilon 0.009155
episode 469, episode_reward 15130, epsilon 0.009063
episode 470, episode_reward 8010, epsilon 0.008972
episode 471, episode_reward 11190, epsilon 0.008883
episode 472, episode_reward 12910, epsilon 0.008794
episode 473, episode_reward 14465, epsilon 0.008706
episode 474, episode_reward 11235, epsilon 0.008619
episode 475, episode_reward 14710, epsilon 0.008533
episode 476, episode_reward 7755, epsilon 0.008447
episode 477, episode_reward 1245, epsilon 0.008363
episode 478, episode_reward 14210, epsilon 0.008279
episode 479, episode_reward 1220, epsilon 0.008196
episode 480, episode_reward 1290, epsilon 0.008114
