DQN：
实验条件：抽象训练
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=10
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000


反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 5:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= int(time.time() - self.episode_start) * (int)(CarEnv.DSEIRED_DIS - dis)


episode 434, episode_reward 525, epsilon 0.012884
episode 435, episode_reward 14791, epsilon 0.012755
episode 436, episode_reward 4420, epsilon 0.012627
episode 437, episode_reward 13775, epsilon 0.012501
episode 438, episode_reward 505, epsilon 0.012376
episode 439, episode_reward 3735, epsilon 0.012252
episode 440, episode_reward 3088, epsilon 0.012130
episode 441, episode_reward 180, epsilon 0.012008
episode 442, episode_reward 14729, epsilon 0.011888
episode 443, episode_reward 305, epsilon 0.011769
episode 444, episode_reward 1655, epsilon 0.011652
episode 445, episode_reward 3970, epsilon 0.011535
episode 446, episode_reward 2865, epsilon 0.011420
episode 447, episode_reward 3675, epsilon 0.011306
episode 448, episode_reward 590, epsilon 0.011193
episode 449, episode_reward 14032, epsilon 0.011081
episode 450, episode_reward 3735, epsilon 0.010970
episode 451, episode_reward 13823, epsilon 0.010860
episode 452, episode_reward 3595, epsilon 0.010752
episode 453, episode_reward 2025, epsilon 0.010644
episode 454, episode_reward 14077, epsilon 0.010538
episode 455, episode_reward 285, epsilon 0.010432
episode 456, episode_reward 14501, epsilon 0.010328
episode 457, episode_reward 595, epsilon 0.010225
episode 458, episode_reward 13536, epsilon 0.010122
episode 459, episode_reward 2023, epsilon 0.010021
episode 460, episode_reward 2739, epsilon 0.009921
episode 461, episode_reward 11805, epsilon 0.009822
episode 462, episode_reward 11431, epsilon 0.009724
episode 463, episode_reward 3675, epsilon 0.009626
episode 464, episode_reward 14409, epsilon 0.009530
episode 465, episode_reward 9289, epsilon 0.009435
episode 466, episode_reward 13499, epsilon 0.009340
episode 467, episode_reward 14244, epsilon 0.009247
episode 468, episode_reward 3250, epsilon 0.009155
episode 469, episode_reward 4180, epsilon 0.009063
episode 470, episode_reward 160, epsilon 0.008972
episode 471, episode_reward 10197, epsilon 0.008883
episode 472, episode_reward 13270, epsilon 0.008794
episode 473, episode_reward 2660, epsilon 0.008706
episode 474, episode_reward 245, epsilon 0.008619
episode 475, episode_reward 9550, epsilon 0.008533
episode 476, episode_reward 4563, epsilon 0.008447
episode 477, episode_reward 13895, epsilon 0.008363
episode 478, episode_reward 1646, epsilon 0.008279
episode 479, episode_reward 145, epsilon 0.008196
episode 480, episode_reward 3675, epsilon 0.008114
episode 481, episode_reward 1705, epsilon 0.008033
episode 482, episode_reward 435, epsilon 0.007953
episode 483, episode_reward 14117, epsilon 0.007873
episode 484, episode_reward 3675, epsilon 0.007795
episode 485, episode_reward 3015, epsilon 0.007717
episode 486, episode_reward 13836, epsilon 0.007640
episode 487, episode_reward 10111, epsilon 0.007563
episode 488, episode_reward 5372, epsilon 0.007488
episode 489, episode_reward 4435, epsilon 0.007413
episode 490, episode_reward 3700, epsilon 0.007339
episode 491, episode_reward 13043, epsilon 0.007265
episode 492, episode_reward 3645, epsilon 0.007193
episode 493, episode_reward 2045, epsilon 0.007121
episode 494, episode_reward 3615, epsilon 0.007049
episode 495, episode_reward 14210, epsilon 0.006979
episode 496, episode_reward 14537, epsilon 0.006909
episode 497, episode_reward 13341, epsilon 0.006840
episode 498, episode_reward 2375, epsilon 0.006772
episode 499, episode_reward 13196, epsilon 0.006704
episode 500, episode_reward 13081, epsilon 0.006637
episode 501, episode_reward 3645, epsilon 0.006570
episode 502, episode_reward 12324, epsilon 0.006505
episode 503, episode_reward 14042, epsilon 0.006440
episode 504, episode_reward 3465, epsilon 0.006375
episode 505, episode_reward 12215, epsilon 0.006312
episode 506, episode_reward 14181, epsilon 0.006248
episode 507, episode_reward 13325, epsilon 0.006186
episode 508, episode_reward 13927, epsilon 0.006124
episode 509, episode_reward 3610, epsilon 0.006063
episode 510, episode_reward 3915, epsilon 0.006002
episode 511, episode_reward 6668, epsilon 0.005942
episode 512, episode_reward 4458, epsilon 0.005883
episode 513, episode_reward 2905, epsilon 0.005824
episode 514, episode_reward 245, epsilon 0.005766
episode 515, episode_reward 3675, epsilon 0.005708
episode 516, episode_reward 245, epsilon 0.005651
episode 517, episode_reward 3295, epsilon 0.005594
episode 518, episode_reward 11706, epsilon 0.005539
episode 519, episode_reward 1601, epsilon 0.005483
episode 520, episode_reward 3675, epsilon 0.005428
episode 521, episode_reward 3645, epsilon 0.005374
episode 522, episode_reward 14653, epsilon 0.005320
episode 523, episode_reward 4551, epsilon 0.005267
episode 524, episode_reward 14588, epsilon 0.005214
episode 525, episode_reward 2015, epsilon 0.005162
episode 526, episode_reward 14138, epsilon 0.005111
episode 527, episode_reward 13966, epsilon 0.005060
episode 528, episode_reward 14527, epsilon 0.005009
episode 529, episode_reward 1837, epsilon 0.004959
episode 530, episode_reward 14258, epsilon 0.004909
episode 531, episode_reward 3675, epsilon 0.004860
episode 532, episode_reward 3975, epsilon 0.004812
episode 533, episode_reward 3955, epsilon 0.004763
episode 534, episode_reward 4305, epsilon 0.004716
episode 535, episode_reward 3655, epsilon 0.004669
