DQN：非抽象训练

EPISODES = 10000
EPSILON = 1
INTERVAL_NUM = 100

EPSILON_DECAY = 0.995  ## 0.9975 99975
MIN_EPSILON = 0.001

MIN_REPLAY_MEMORY_SIZE = 1_000
AGGREGATE_STATS_EVERY = 5


REPLAY_MEMORY_SIZE = 7_000

MINIBATCH_SIZE = 4
UPDATE_TARGET_EVERY = 10  # used to be 10
DISCOUNT = 0.99

SECONDS_PER_EPISODE = 20
    STEER_AMT = 1
    SPEED_AMT = 1
step:
            if action == 0:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=-1.0 * self.STEER_AMT))
            if action == 1:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=0.0))
            if action == 2:
                self.vehicle.apply_control(carla.VehicleControl(throttle=1.0 * self.SPEED_AMT, steer=1.0 * self.STEER_AMT))
        if len(self.collision_hist) != 0:
            done = True
            reward -= 1
        elif kmh < 50:
            done = False
            reward -= 1
        else:
            done = False
            reward += 1
episode 466, episode_reward -69, epsilon 0.097215
episode 467, episode_reward -80, epsilon 0.096729
episode 468, episode_reward -46, epsilon 0.096245
episode 469, episode_reward -53, epsilon 0.095764
episode 470, episode_reward -49, epsilon 0.095285
episode 471, episode_reward -51, epsilon 0.094809
episode 472, episode_reward -66, epsilon 0.094335
episode 473, episode_reward -74, epsilon 0.093863
episode 474, episode_reward -46, epsilon 0.093394
episode 475, episode_reward -54, epsilon 0.092927
episode 476, episode_reward -62, epsilon 0.092462
episode 477, episode_reward -49, epsilon 0.092000
episode 478, episode_reward -153, epsilon 0.091540
episode 479, episode_reward -46, epsilon 0.091082
episode 480, episode_reward -52, epsilon 0.090627
episode 481, episode_reward -46, epsilon 0.090173
episode 482, episode_reward -46, epsilon 0.089723
episode 483, episode_reward -70, epsilon 0.089274
episode 484, episode_reward -47, epsilon 0.088828
episode 485, episode_reward -53, epsilon 0.088383
episode 486, episode_reward -70, epsilon 0.087942
episode 487, episode_reward -73, epsilon 0.087502
episode 488, episode_reward -49, epsilon 0.087064
episode 489, episode_reward -71, epsilon 0.086629
episode 490, episode_reward -47, epsilon 0.086196
episode 491, episode_reward -151, epsilon 0.085765
episode 492, episode_reward -50, epsilon 0.085336
episode 493, episode_reward -71, epsilon 0.084909
episode 494, episode_reward -71, epsilon 0.084485
episode 495, episode_reward -67, epsilon 0.084062
episode 496, episode_reward -46, epsilon 0.083642
episode 497, episode_reward -68, epsilon 0.083224
episode 498, episode_reward -68, epsilon 0.082808
episode 499, episode_reward -52, epsilon 0.082394
episode 500, episode_reward -309, epsilon 0.081982
episode 501, episode_reward -47, epsilon 0.081572
episode 502, episode_reward -45, epsilon 0.081164
episode 503, episode_reward -63, epsilon 0.080758
episode 504, episode_reward -72, epsilon 0.080354
episode 505, episode_reward -64, epsilon 0.079953
episode 506, episode_reward -55, epsilon 0.079553
episode 507, episode_reward -55, epsilon 0.079155
episode 508, episode_reward -366, epsilon 0.078759
episode 509, episode_reward -47, epsilon 0.078366
episode 510, episode_reward -61, epsilon 0.077974
episode 511, episode_reward -71, epsilon 0.077584
episode 512, episode_reward -53, epsilon 0.077196
episode 513, episode_reward -53, epsilon 0.076810
episode 514, episode_reward -45, epsilon 0.076426
episode 515, episode_reward -151, epsilon 0.076044
episode 516, episode_reward -51, epsilon 0.075664
episode 517, episode_reward -57, epsilon 0.075285
