DQN：
实验条件：非抽象训练 pointdefault
宽400高300
INTERVAL_NUM = 100
EPSILON_DECAY = 0.99
train_time=15
STEER_AMT = 0.35
SPEED_AMT = 0.8
DSEIRED_DIS = 5
REPLAY_MEMORY_SIZE = 7_000

反馈函数：
        if len(self.collision_hist) != 0:
            done = True
            reward -= 300
        elif kmh < 15:
            done = False
            reward -= 5
        elif kmh < 30:
            done = False
            reward += 10
        else:
            done = False
            reward += 30

        if time.time() - self.episode_start > 10:
            dis = self.get_dis()
            if dis < CarEnv.DSEIRED_DIS:
                reward -= 5 * (int)(CarEnv.DSEIRED_DIS - dis)


episode 226, episode_reward -270, epsilon 0.104212
episode 227, episode_reward -240, epsilon 0.103170
episode 228, episode_reward 1395, epsilon 0.102138
episode 229, episode_reward -245, epsilon 0.101117
episode 230, episode_reward -260, epsilon 0.100106
episode 231, episode_reward -250, epsilon 0.099105
episode 232, episode_reward -270, epsilon 0.098114
episode 233, episode_reward -265, epsilon 0.097133
episode 234, episode_reward -260, epsilon 0.096161
episode 235, episode_reward -200, epsilon 0.095200
episode 236, episode_reward -270, epsilon 0.094248
episode 237, episode_reward -270, epsilon 0.093305
episode 238, episode_reward 1425, epsilon 0.092372
episode 239, episode_reward -280, epsilon 0.091448
episode 240, episode_reward -285, epsilon 0.090534
episode 241, episode_reward 280, epsilon 0.089629
episode 242, episode_reward -270, epsilon 0.088732
episode 243, episode_reward -265, epsilon 0.087845
episode 244, episode_reward -250, epsilon 0.086967
episode 245, episode_reward -265, epsilon 0.086097
episode 246, episode_reward 1475, epsilon 0.085236
episode 247, episode_reward 245, epsilon 0.084384
episode 248, episode_reward -270, epsilon 0.083540
episode 249, episode_reward -255, epsilon 0.082704
episode 250, episode_reward 230, epsilon 0.081877
episode 251, episode_reward -215, epsilon 0.081059
episode 252, episode_reward 255, epsilon 0.080248
episode 253, episode_reward 1320, epsilon 0.079445
episode 254, episode_reward -250, epsilon 0.078651
episode 255, episode_reward -270, epsilon 0.077864
episode 256, episode_reward -235, epsilon 0.077086
episode 257, episode_reward 205, epsilon 0.076315
episode 258, episode_reward 215, epsilon 0.075552
episode 259, episode_reward -235, epsilon 0.074796
episode 260, episode_reward -210, epsilon 0.074048
episode 261, episode_reward 185, epsilon 0.073308
episode 262, episode_reward 1280, epsilon 0.072575
episode 263, episode_reward -260, epsilon 0.071849
episode 264, episode_reward -180, epsilon 0.071131
episode 265, episode_reward -235, epsilon 0.070419
episode 266, episode_reward -210, epsilon 0.069715
episode 267, episode_reward -210, epsilon 0.069018
episode 268, episode_reward -265, epsilon 0.068328
episode 269, episode_reward 1315, epsilon 0.067644
episode 270, episode_reward 280, epsilon 0.066968
episode 271, episode_reward -275, epsilon 0.066298
episode 272, episode_reward 225, epsilon 0.065635
episode 273, episode_reward -280, epsilon 0.064979
episode 274, episode_reward 270, epsilon 0.064329
episode 275, episode_reward 265, epsilon 0.063686
episode 276, episode_reward -275, epsilon 0.063049
episode 277, episode_reward -270, epsilon 0.062419
episode 278, episode_reward -230, epsilon 0.061794
episode 279, episode_reward 290, epsilon 0.061176
episode 280, episode_reward -285, epsilon 0.060565
episode 281, episode_reward 220, epsilon 0.059959
episode 282, episode_reward -255, epsilon 0.059359
episode 283, episode_reward 1385, epsilon 0.058766
episode 284, episode_reward 220, epsilon 0.058178
episode 285, episode_reward 200, epsilon 0.057596
episode 286, episode_reward -240, epsilon 0.057020
episode 287, episode_reward -260, epsilon 0.056450
episode 288, episode_reward 275, epsilon 0.055886
episode 289, episode_reward -290, epsilon 0.055327
episode 290, episode_reward -270, epsilon 0.054774
episode 291, episode_reward -245, epsilon 0.054226
episode 292, episode_reward 250, epsilon 0.053684
episode 293, episode_reward 250, epsilon 0.053147
episode 294, episode_reward -290, epsilon 0.052615
